Fighter Name,Fighter Record,Fighter Height,Fighter Weight,Fighter Reach,Fighter Stance,Fighter DOB,Fighter SLpM,Fighter Striking Accuracy,Fighter SApM,Fighter Striking Defence,Fighter Take Down Average,Fighter Take Down Accuracy,Fighter Take Down Defence,Fighter Submission Average,wins,loss,tie
Sultan Aliev,"['14', '2', '0']",71,170,74,Orthodox,"Sep17,1984",1.3,57,2.03,58,1.69,66,100,0.0,14,2,0
Arnold Allen,"['12', '1', '0']",68,145,70,Southpaw,"Jan22,1994",2.06,34,1.85,55,2.88,57,75,0.7,12,1,0
Benny Alloway,"['13', '6', '0']",71,170,75,Orthodox,"Feb19,1981",1.28,49,1.9,59,0.62,50,26,0.0,13,6,0
Ricardo Almeida,"['13', '5', '0']",72,170,74,Orthodox,"Nov29,1976",2.02,49,1.2,61,3.74,38,31,1.2,13,5,0
Thomas Almeida,"['22', '3', '0']",67,135,70,Southpaw,"Jul31,1991",5.66,45,4.65,64,0.0,0,75,0.0,22,3,0
Eddie Alvarez,"['29', '5', '0 (1 NC)']",69,155,69,Orthodox,"Jan11,1984",4.44,41,4.28,55,3.14,38,92,0.4,29,5,0
Jaime Alvarez,"['6', '1', '0']",68,125,69,Orthodox,"Mar08,1988",2.73,40,4.53,56,1.0,33,50,0.0,6,1,0
Thiago Alves,"['27', '12', '0']",69,170,70,Orthodox,"Oct03,1983",3.6,41,3.14,63,0.78,68,63,0.4,27,12,0
Warlley Alves,"['12', '2', '0']",71,170,72,Orthodox,"Jan04,1991",2.8,46,4.1,50,1.3,43,75,1.1,12,2,0
Sam Alvey,"['32', '10', '0 (1 NC)']",74,185,75,Southpaw,"May06,1986",3.05,46,3.19,54,0.11,25,84,0.1,32,10,0
Adlan Amagov,"['13', '2', '1']",74,170,76,Orthodox,"Oct30,1986",3.29,47,0.82,78,5.84,56,100,0.0,13,2,1
Makwan Amirkhani,"['13', '3', '0']",70,145,72,Southpaw,"Nov08,1988",1.73,53,1.45,53,4.24,45,50,2.4,13,3,0
Eryk Anders,"['10', '1', '0']",73,185,75,Southpaw,"Apr21,1987",3.12,54,2.47,45,2.1,35,66,0.0,10,1,0
Corey Anderson,"['10', '4', '0']",75,205,79,Orthodox,"Sep22,1989",4.77,46,2.34,58,4.4,48,33,0.0,10,4,0
Jessica Andrade,"['18', '6', '0']",61,115,62,Orthodox,"Sep25,1991",6.42,51,4.94,51,3.24,58,75,0.5,18,6,0
Viscardi Andrade,"['19', '7', '0']",71,170,75,Orthodox,"Mar08,1984",3.26,42,2.77,63,1.93,50,66,0.3,19,7,0
Dylan Andrews,"['18', '8', '0 (1 NC)']",73,185,73,Switch,"Nov15,1979",2.21,50,2.72,46,2.83,50,57,0.4,18,8,0
Magomed Ankalaev,"['9', '1', '0']",75,205,75,Orthodox,"Feb06,1992",3.94,61,1.2,64,0.0,0,71,0.0,9,1,0
Nina Ansaroff,"['8', '5', '0']",65,115,64,Orthodox,"Dec03,1985",5.22,48,3.77,53,0.51,40,73,1.0,8,5,0
Gadzhimurad Antigulov,"['20', '4', '0']",71,205,70,Orthodox,"Feb09,1987",0.58,25,0.87,66,8.65,100,0,8.7,20,4,0
Adam Antolin,"['12', '3', '0']",65,125,63,Orthodox,"Feb28,1982",5.73,52,5.0,69,0.0,0,100,0.0,12,3,0
Zu Anyanwu,"['14', '5', '0']",73,251,77,Orthodox,"Aug05,1981",2.47,42,2.47,69,0.65,100,0,0.0,14,5,0
Shinsho Anzai,"['10', '2', '0']",67,170,70,Orthodox,"Dec01,1985",3.49,59,3.69,46,2.0,16,100,0.0,10,2,0
Felipe Arantes,"['18', '9', '1 (2 NC)']",68,145,73,Orthodox,"Feb09,1988",2.48,45,2.56,64,1.0,52,42,0.8,18,9,1
Igor Araujo,"['25', '8', '0 (1 NC)']",73,170,77,Orthodox,"Dec06,1980",1.52,42,2.86,49,0.86,15,22,0.6,25,8,0
Julio Arce,"['14', '2', '0']",67,145,70,Southpaw,"Oct27,1989",5.96,41,2.43,69,0.0,0,92,0.0,14,2,0
Andrei Arlovski,"['27', '15', '0 (1 NC)']",75,240,77,Orthodox,"Feb04,1979",3.23,42,2.59,58,0.56,37,81,0.4,27,15,0
Austin Arnett,"['15', '4', '0']",72,145,72,Orthodox,"Oct22,1991",5.76,37,8.99,64,0.63,100,0,0.6,15,4,0
Akbarh Arreola,"['23', '10', '1']",70,155,71,Southpaw,"Jan14,1983",2.32,45,4.01,56,1.07,100,33,0.4,23,10,1
Matt Arroyo,"['3', '3', '0']",70,170,72,Orthodox,"Sep01,1982",1.62,47,2.01,58,2.12,36,100,5.3,3,3,0
Cyril Asker,"['9', '4', '0']",72,247,74,Orthodox,"Dec24,1985",3.35,39,5.82,35,4.41,62,100,0.9,9,4,0
Scott Askham,"['14', '4', '0']",75,185,75,Southpaw,"May20,1988",3.03,46,3.52,52,0.44,18,65,0.7,14,4,0
Junior Assuncao,"['13', '4', '0']",69,145,72,Orthodox,"Jun24,1981",3.31,62,2.06,44,2.43,24,66,0.7,13,4,0
Raphael Assuncao,"['26', '5', '0']",65,135,66,Orthodox,"Jul19,1982",3.37,40,2.29,69,1.36,33,79,0.3,26,5,0
Rich Attonito,"['10', '5', '0']",70,170,72,Orthodox,"Jun16,1977",2.28,47,2.13,59,0.74,37,75,0.0,10,5,0
Olivier Aubin-Mercier,"['11', '2', '0']",69,155,70,Southpaw,"Feb23,1989",2.67,52,2.67,58,3.14,35,83,0.6,11,2,0
Marcus Aurelio,"['21', '10', '0']",70,155,74,Orthodox,"Aug18,1973",1.42,33,2.27,59,1.69,27,27,1.3,21,10,0
Blas Avena,"['7', '6', '0 (1 NC)']",72,170,74,Orthodox,"Jun30,1983",2.34,47,3.36,43,2.37,80,50,1.8,7,6,0
Chris Avila,"['5', '4', '0']",70,145,72,Orthodox,"Jan16,1993",2.37,30,4.17,48,0.0,0,46,0.0,5,4,0
Jessin Ayari,"['16', '4', '0']",72,170,73,Orthodox,"May31,1992",3.27,34,2.6,61,0.0,0,33,0.5,16,4,0
Niklas Backstrom,"['8', '2', '0 (1 NC)']",73,145,74,Orthodox,"Aug22,1989",1.12,41,3.65,40,2.92,80,72,2.2,8,2,0
Seth Baczynski,"['18', '11', '0']",75,170,74,Orthodox,"Oct26,1981",3.08,31,3.14,51,0.89,16,48,0.8,18,11,0
Ryan Bader,"['23', '5', '0']",74,205,74,Orthodox,"Jun07,1983",2.82,43,1.39,71,3.37,44,80,0.4,23,5,0
Ali Bagautinov,"['14', '5', '0']",64,125,65,Orthodox,"Jun10,1985",2.85,42,3.09,52,2.51,36,65,0.3,14,5,0
Mehdi Baghdad,"['11', '4', '0']",73,155,75,Orthodox,"Apr13,1985",3.13,30,4.56,46,0.0,0,33,0.0,11,4,0
Siyar Bahadurzada,"['23', '6', '1']",71,185,72,Orthodox,"Apr17,1984",3.37,48,2.34,50,1.13,80,67,0.6,23,6,1
Oluwale Bamgbose,"['6', '4', '0']",71,185,78,Switch,"Aug04,1987",2.45,48,2.7,55,0.94,33,37,0.0,6,4,0
Marcin Bandel,"['13', '4', '0']",70,155,70,Orthodox,"Oct10,1989",0.79,50,5.26,23,0.0,0,0,0.0,13,4,0
Tae Hyun Bang,"['18', '10', '0']",69,155,71,Switch,"Apr15,1983",2.72,38,2.07,66,0.49,33,57,0.5,18,10,0
Antonio Banuelos,"['19', '7', '1']",65,135,63,Orthodox,"Sep23,1979",2.71,33,3.3,58,1.38,58,85,0.4,19,7,1
Renan Barao,"['36', '6', '0 (1 NC)']",66,135,70,Orthodox,"Jan31,1987",3.76,35,3.78,58,1.39,43,93,0.5,36,6,0
Bryan Barberena,"['13', '5', '0']",72,170,72,Southpaw,"May03,1989",4.89,49,3.67,50,0.35,40,47,0.3,13,5,0
Edson Barboza,"['19', '5', '0']",71,155,75,Orthodox,"Jan21,1986",3.79,40,3.73,62,0.54,53,83,0.1,19,5,0
Luke Barnatt,"['8', '3', '0']",78,185,77,Orthodox,"Apr13,1988",4.43,36,3.87,59,0.63,42,63,0.4,8,3,0
Josh Barnett,"['35', '8', '0']",75,250,78,Orthodox,"Nov10,1977",3.2,50,2.11,57,1.26,55,55,1.4,35,8,0
Phil Baroni,"['14', '15', '0']",69,170,72,Orthodox,"Apr16,1976",2.77,45,3.93,40,1.46,47,60,0.5,14,15,0
Francimar Barroso,"['19', '7', '0 (1 NC)']",73,205,75,Orthodox,"Feb28,1980",2.77,52,3.07,59,2.22,24,83,0.0,19,7,0
Pat Barry,"['8', '7', '0']",71,235,74,Orthodox,"Jul07,1979",2.72,52,3.54,59,0.0,0,76,0.2,8,7,0
Shayna Baszler,"['15', '10', '0']",67,135,67,Orthodox,"Aug08,1980",2.49,30,6.36,51,0.67,18,44,1.3,15,10,0
Chris Beal,"['10', '3', '0']",67,125,69,Orthodox,"Aug06,1985",3.45,35,3.18,61,1.6,58,78,0.2,10,3,0
Johnny Bedford,"['19', '13', '1 (1 NC)']",70,135,71,Orthodox,"Jan06,1983",4.53,50,1.75,63,1.83,62,62,0.0,19,13,1
Chase Beebe,"['19', '8', '1']",67,135,67,Orthodox,"Mar29,1985",2.17,38,1.64,69,2.49,42,41,0.9,19,8,1
Mirsad Bektic,"['12', '1', '0']",68,145,70,Orthodox,"Feb16,1991",3.14,49,1.2,67,4.02,53,100,0.5,12,1,0
Alan Belcher,"['17', '7', '0']",74,185,73,Orthodox,"Apr24,1984",2.7,41,3.1,59,0.44,26,55,0.9,17,7,0
Vitor Belfort,"['26', '13', '0 (1 NC)']",72,185,74,Southpaw,"Apr01,1977",1.63,46,2.85,50,1.05,60,53,0.6,26,13,0
Joey Beltran,"['15', '9', '0 (1 NC)']",73,185,75,Orthodox,"Dec08,1981",4.92,36,5.27,54,0.48,18,75,0.0,15,9,0
Marco Beltran,"['8', '7', '0']",68,125,69,Orthodox,"May18,1986",2.07,37,1.93,63,0.7,50,46,0.2,8,7,0
Joseph Benavidez,"['25', '4', '0']",64,125,65,Southpaw,"Jul31,1984",3.42,33,2.36,65,1.21,29,66,0.8,25,4,0
Gabriel Benitez,"['20', '7', '0']",68,145,71,Southpaw,"Jun15,1988",4.14,42,2.6,73,0.0,0,56,1.6,20,7,0
Lance Benoist,"['7', '2', '0']",71,170,73,Southpaw,"Aug26,1988",3.68,51,2.7,56,1.5,33,61,0.0,7,2,0
Ryan Benoit,"['10', '5', '0']",65,125,68,Orthodox,"Aug25,1989",2.38,36,3.2,59,0.24,20,62,0.2,10,5,0
Keith Berish,"['5', '1', '0 (1 NC)']",72,205,73,Orthodox,"Nov14,1985",3.58,36,4.81,62,1.76,40,0,0.0,5,1,0
Dennis Bermudez,"['17', '8', '0']",66,145,66,Orthodox,"Dec13,1986",4.59,46,3.2,58,3.6,38,82,1.1,17,8,0
