Fighter Name,Fighter Height,Fighter Weight,Fighter Reach,Fighter Stance,Fighter DOB,Fighter SLpM,Fighter Striking Accuracy,Fighter SApM,Fighter Striking Defence,Fighter Take Down Average,Fighter Take Down Accuracy,Fighter Take Down Defence,Fighter Submission Average,wins,loss,tie,total,win percent
Thiago Santos,72,185,76,Orthodox,"Jan07,1984",4.56,48,2.02,66,0.42,25,70,0.0,17,5,0,22,0.7727272727272727
Bruno Santos,69,185,69,Orthodox,"Jul17,1987",1.18,46,2.27,56,3.0,37,66,0.3,14,2,0,16,0.875
Daniel Sarafian,69,185,73,Orthodox,"Aug21,1982",2.23,46,3.1,58,0.36,7,53,0.7,10,6,0,16,0.625
Ulka Sasaki,70,125,71,Southpaw,"Oct07,1989",2.02,39,2.83,50,2.26,34,37,1.1,20,5,2,27,0.7407407407407407
Paul Sass,72,155,73,Orthodox,"Aug04,1988",0.53,26,1.9,51,0.53,16,33,7.4,13,2,0,15,0.8666666666666667
Takenori Sato,70,170,71,Southpaw,"Jun08,1985",0.46,33,12.92,9,0.0,0,0,0.0,17,10,7,34,0.5
Ben Saunders,74,170,77,Orthodox,"Apr13,1983",3.35,50,3.79,51,0.25,40,72,1.1,21,9,2,32,0.65625
Eric Schafer,75,185,75,Orthodox,"Sep20,1977",1.89,34,3.38,56,1.81,36,50,1.8,14,7,2,23,0.6086956521739131
Brendan Schaub,76,245,78,Orthodox,"Mar18,1983",2.92,37,2.22,57,2.32,46,72,0.4,11,5,0,16,0.6875
Pat Schilling,68,145,69,Orthodox,"Aug28,1988",1.87,26,8.24,52,0.0,0,0,0.0,5,2,0,7,0.7142857142857143
Matt Schnell,68,125,70,Orthodox,"Jan15,1990",2.93,31,3.97,52,0.65,33,50,1.3,11,4,0,15,0.7333333333333333
Justin Scoggins,67,125,66,Southpaw,"May02,1992",3.81,53,1.78,59,4.02,65,79,0.5,11,4,0,15,0.7333333333333333
Neil Seery,64,125,64,Orthodox,"Aug30,1979",3.56,41,3.79,58,0.78,27,53,1.6,16,13,0,29,0.5517241379310345
Pete Sell,71,170,75,Orthodox,"Aug05,1982",2.6,42,3.65,51,0.91,21,47,0.9,9,5,0,14,0.6428571428571429
Mackens Semerzier,69,145,72,Orthodox,"Nov03,1980",2.91,45,3.48,46,2.14,50,50,2.1,8,4,0,12,0.6666666666666666
Alex Serdyukov,74,170,74,Orthodox,"May24,1980",3.92,42,2.53,54,1.56,60,70,2.6,8,5,0,13,0.6153846153846154
Matt Serra,66,170,68,Orthodox,"Jun02,1974",1.98,39,2.64,46,2.05,20,38,0.9,11,7,0,18,0.6111111111111112
