Fighter Name,Fighter Height,Fighter Weight,Fighter Reach,Fighter Stance,Fighter DOB,Fighter SLpM,Fighter Striking Accuracy,Fighter SApM,Fighter Striking Defence,Fighter Take Down Average,Fighter Take Down Accuracy,Fighter Take Down Defence,Fighter Submission Average,wins,loss,tie,total,win percent
Jesse Taylor,72,170,73,Orthodox,"Jan02,1983",1.94,65,0.55,38,7.28,50,100,3.1,33,15,0,48,0.6875
Louis Taylor,71,185,74,Orthodox,"May12,1979",2.06,32,1.24,68,2.48,28,100,0.0,11,3,0,14,0.7857142857142857
Danielle Taylor,60,115,60,Orthodox,"Oct25,1989",2.87,29,2.85,74,0.25,25,75,0.0,9,3,0,12,0.75
James Te Huna,74,185,75,Orthodox,"Sep29,1981",4.04,51,2.99,62,2.75,37,58,0.2,18,9,0,27,0.6666666666666666
Glover Teixeira,74,205,76,Orthodox,"Oct28,1979",3.73,43,3.61,57,2.39,51,59,0.8,27,6,0,33,0.8181818181818182
Daniel Teymur,65,155,69,Orthodox,"Feb03,1988",4.6,53,6.2,46,0.0,0,66,0.0,6,1,0,7,0.8571428571428571
Motonobu Tezuka,67,135,66,Southpaw,"Aug29,1987",0.87,23,2.8,51,1.5,11,0,0.5,19,6,4,29,0.6551724137931034
Brandon Thatch,74,170,74,Switch,"Jul11,1985",2.7,42,3.63,52,1.36,66,50,0.7,11,5,0,16,0.6875
Elias Theodorou,73,185,75,Orthodox,"May31,1988",3.77,40,1.88,56,1.79,30,53,0.0,15,2,0,17,0.8823529411764706
Paulo Thiago,71,170,73,Orthodox,"Jan25,1981",1.71,39,1.99,63,1.42,31,63,1.2,15,8,0,23,0.6521739130434783
Nick Thompson,73,170,74,Orthodox,"Jun23,1981",1.87,42,1.8,49,1.06,100,35,2.6,38,14,1,53,0.7169811320754716
Oli Thompson,73,242,75,Orthodox,"Jan02,1980",1.66,46,5.31,46,0.0,0,50,0.5,9,4,0,13,0.6923076923076923
Stephen Thompson,72,170,75,Orthodox,"Feb11,1983",3.81,44,2.66,59,0.48,50,78,0.0,14,2,1,17,0.8235294117647058
Josh Thomson,70,155,71,Orthodox,"Sep21,1978",2.59,47,2.12,64,1.92,39,54,1.3,21,8,0,29,0.7241379310344828
Simeon Thoresen,73,170,79,Orthodox,"Mar14,1984",3.85,43,3.85,64,1.12,40,50,1.7,17,4,1,22,0.7727272727272727
Gleison Tibau,70,155,71,Southpaw,"Oct07,1983",1.95,33,2.37,63,4.29,54,92,0.9,40,13,0,53,0.7547169811320755
Nolan Ticman,66,125,69,Orthodox,"May17,1988",2.57,47,2.53,67,0.0,0,60,0.0,4,3,0,7,0.5714285714285714
Darren Till,72,170,74,Southpaw,"Dec24,1992",3.18,52,3.25,62,0.8,33,82,0.0,16,0,1,17,0.9411764705882353
Andrew Todhunter,72,170,72,Switch,"Nov30,1987",0.0,0,0.0,0,0.0,0,0,0.0,7,0,0,7,1.0
Kazuki Tokudome,71,155,73,Southpaw,"Mar04,1987",2.26,41,3.63,53,2.0,38,78,0.0,12,6,1,19,0.631578947368421
Tyler Toner,68,145,70,Orthodox,"Mar31,1983",2.95,52,2.13,62,0.0,0,54,0.4,12,3,0,15,0.8
Miguel Torres,69,135,76,Orthodox,"Jan18,1981",3.98,43,1.86,74,0.0,0,17,1.6,39,5,0,44,0.8863636363636364
Tecia Torres,61,115,60,Orthodox,"Aug16,1989",4.74,49,2.98,66,0.95,22,42,0.1,10,2,0,12,0.8333333333333334
Alex Torres,70,145,70,Orthodox,"May29,1988",2.47,37,2.73,69,2.0,22,50,0.0,2,2,0,4,0.5
Salim Touahri,70,170,72,Orthodox,"Sep28,1989",2.33,47,2.53,60,0.0,0,71,0.0,10,2,0,12,0.8333333333333334
Francisco Trevino,69,155,70,Orthodox,"Dec17,1981",2.65,42,2.42,64,0.97,22,41,0.0,12,2,0,14,0.8571428571428571
Frank Trigg,69,170,71,Southpaw,"May07,1972",2.79,46,1.9,56,2.35,47,75,0.8,21,9,0,30,0.7
Francisco Trinaldo,69,155,70,Southpaw,"Aug24,1978",3.28,45,2.46,59,1.22,47,63,0.5,22,6,0,28,0.7857142857142857
Tor Troeng,74,185,77,Orthodox,"Jan25,1983",1.16,46,3.26,32,0.62,7,66,0.3,16,7,1,24,0.6666666666666666
Abel Trujillo,68,155,70,Orthodox,"Sep18,1983",2.65,41,2.31,59,2.18,45,40,0.4,15,8,0,23,0.6521739130434783
Chris Tuchscherer,74,258,76,Orthodox,"Sep08,1975",1.35,31,3.17,47,1.19,18,0,0.6,21,4,0,25,0.84
Jon Tuck,71,155,73,Orthodox,"Aug28,1984",3.13,39,3.7,61,0.48,37,55,1.0,10,4,0,14,0.7142857142857143
Gavin Tucker,66,145,66,Southpaw,"Jun17,1986",2.6,31,5.07,53,0.5,20,42,0.5,10,1,0,11,0.9090909090909091
Jumabieke Tuerxun,67,135,67,Orthodox,"Apr17,1986",1.6,28,3.08,59,0.47,11,66,0.9,17,3,1,21,0.8095238095238095
Tai Tuivasa,74,264,75,Southpaw,"Mar16,1993",8.72,68,1.89,56,0.0,0,100,0.0,9,0,0,9,1.0
Zubaira Tukhugov,68,145,68,Orthodox,"Jan15,1991",2.53,35,2.09,69,2.13,46,100,0.0,18,4,0,22,0.8181818181818182
Albert Tumenov,71,170,73,Orthodox,"Dec26,1991",3.76,42,3.34,58,0.2,20,75,0.0,17,4,0,21,0.8095238095238095
Ricky Turcios,69,135,71,Orthodox,"Jun05,1993",7.33,37,4.07,64,0.0,0,0,0.0,8,1,0,9,0.8888888888888888
Marcin Tybura,75,249,78,Orthodox,"Nov09,1985",3.75,51,3.14,50,1.03,54,79,0.2,16,4,0,20,0.8
Alberto Uda,75,185,77,Orthodox,"Aug08,1984",1.79,52,3.49,45,2.83,50,66,0.0,9,2,0,11,0.8181818181818182
Gasan Umalatov,71,170,71,Orthodox,"Sep11,1982",2.23,39,4.1,59,0.75,17,90,0.0,15,5,1,21,0.7142857142857143
Caol Uno,67,155,70,Southpaw,"May08,1975",1.91,49,1.9,50,1.95,31,37,0.5,26,15,5,46,0.5652173913043478
Hector Urbina,71,170,73,Orthodox,"Sep17,1987",0.97,38,2.44,39,0.0,0,38,3.8,25,10,1,36,0.6944444444444444
Elias Urbina,75,185,77,Southpaw,"Oct09,1993",3.85,37,6.17,50,0.0,0,0,0.0,3,1,0,4,0.75
Nick Urso,66,125,66,Southpaw,"Sep26,1985",3.61,45,5.06,36,0.0,0,0,0.0,10,3,0,13,0.7692307692307693
Kamaru Usman,72,170,76,Switch,"May11,1987",3.94,54,1.57,62,4.99,47,0,0.4,12,1,0,13,0.9230769230769231
Darren Uyenoyama,66,125,64,Orthodox,"Oct15,1979",1.34,39,2.21,66,1.42,33,35,0.7,8,5,0,13,0.6153846153846154
Richie Vaculik,66,125,69,Orthodox,"Jun19,1983",3.69,46,4.09,57,3.0,45,31,1.0,10,5,0,15,0.6666666666666666
Charlie Valencia,63,135,64,Orthodox,"Oct31,1974",2.58,37,2.61,77,1.4,53,75,0.5,12,7,0,19,0.631578947368421
Isaac Vallie-Flagg,68,155,68,Orthodox,"Apr08,1978",5.56,47,5.6,45,0.2,12,58,0.0,14,6,1,21,0.6666666666666666
Lando Vannata,69,155,71,Orthodox,"Mar14,1992",5.89,44,6.66,53,1.92,62,70,0.4,9,2,1,12,0.75
Paige VanZant,64,115,65,Orthodox,"Mar26,1994",3.47,51,2.72,43,1.41,34,40,0.7,7,4,0,11,0.6363636363636364
Jamie Varner,68,155,72,Orthodox,"Oct12,1984",2.92,34,2.55,58,3.49,53,66,0.8,21,11,1,33,0.6363636363636364
Guilherme Vasconcelos,72,185,74,Orthodox,"Mar23,1986",3.27,29,4.4,70,0.0,0,0,0.0,3,2,0,5,0.6
Javier Vazquez,67,145,69,Southpaw,"Jul16,1977",2.43,36,1.99,72,2.56,52,57,1.5,16,5,0,21,0.7619047619047619
Manny Vazquez,70,125,72,Orthodox,"Nov19,1993",1.47,41,2.67,48,1.0,33,0,1.0,11,2,0,13,0.8461538461538461
Cain Velasquez,73,240,77,Orthodox,"Jul28,1982",6.38,57,2.29,57,5.15,45,85,0.4,14,2,0,16,0.875
Bojan Velickovic,72,170,76,Southpaw,"Dec18,1988",2.18,34,2.31,57,0.67,25,55,0.5,15,6,1,22,0.6818181818181818
Karlos Vemola,72,185,75,Orthodox,"Jul03,1985",1.67,44,2.13,37,1.93,25,31,1.7,10,4,0,14,0.7142857142857143
Brandon Vera,75,230,76,Orthodox,"Oct10,1977",3.03,56,2.81,52,0.7,53,59,0.2,12,7,0,19,0.631578947368421
Marlon Vera,68,135,70,Switch,"Dec02,1992",3.07,42,4.03,52,0.46,30,74,1.2,10,5,1,16,0.625
Marvin Vettori,72,185,74,Southpaw,"Sep20,1993",3.52,42,2.71,68,1.52,50,72,1.2,12,3,1,16,0.75
Hugo Viana,66,135,67,Orthodox,"Sep26,1982",3.05,38,3.2,57,0.22,6,50,0.0,8,4,0,12,0.6666666666666666
Polyana Viana,65,115,67,Orthodox,"Jun14,1992",3.13,66,1.57,45,3.91,50,0,11.7,10,1,0,11,0.9090909090909091
James Vick,75,155,76,Orthodox,"Feb23,1987",4.11,38,3.02,62,0.32,33,56,0.8,13,1,0,14,0.9285714285714286
Milton Vieira,72,145,72,Orthodox,"Oct04,1978",1.13,35,2.36,48,2.67,53,12,0.7,13,8,2,23,0.5652173913043478
Ketlen Vieira,68,135,68,Orthodox,"Aug26,1991",2.62,36,3.69,56,2.21,57,92,0.8,10,0,0,10,1.0
Gian Villante,75,205,76,Orthodox,"Aug18,1985",4.22,44,5.44,55,0.63,24,82,0.0,16,9,0,25,0.64
Yuri Villefort,72,170,73,Orthodox,"Mar23,1991",3.18,43,5.42,55,2.0,35,40,0.3,6,3,0,9,0.6666666666666666
Marcos Vinicius,69,125,70,Orthodox,"Dec05,1979",1.93,49,2.91,47,0.0,0,25,0.5,20,6,1,27,0.7407407407407407
Brandon Visher,66,135,68,Orthodox,"May06,1984",2.55,45,3.76,42,0.67,20,0,0.0,13,3,0,16,0.8125
Bobby Voelker,72,170,75,Orthodox,"Apr26,1979",4.01,35,5.84,42,1.04,50,66,0.0,24,12,0,36,0.6666666666666666
Alexander Volkanovski,66,145,71,Orthodox,"Sep29,1988",5.91,61,1.62,71,4.46,51,81,0.0,17,1,0,18,0.9444444444444444
Jacob Volkmann,69,155,71,Southpaw,"Sep05,1980",1.19,34,1.78,52,3.19,48,52,2.0,15,4,0,19,0.7894736842105263
Alexander Volkov,79,250,80,Orthodox,"Oct24,1988",4.84,58,2.35,58,0.83,83,73,0.3,30,6,0,36,0.8333333333333334
Chris Wade,70,155,70,Orthodox,"Sep30,1987",1.7,53,1.75,51,2.6,51,55,1.1,12,3,0,15,0.8
TJ Waldburger,71,170,75,Orthodox,"Apr25,1988",2.02,51,2.39,40,3.03,46,40,4.8,16,9,0,25,0.64
Chase Waldon,73,185,75,Orthodox,"Sep19,1986",1.03,28,6.72,38,7.76,33,0,0.0,11,2,0,13,0.8461538461538461
Ben Wall,70,155,73,Orthodox,"Mar25,1989",1.47,29,8.53,29,0.0,0,100,0.0,7,2,1,10,0.7
Rodney Wallace,69,205,72,Switch,"Nov21,1981",1.13,46,3.44,45,6.0,54,28,1.0,11,4,1,16,0.6875
Randall Wallace,71,185,73,Orthodox,"Mar01,1989",1.13,38,4.11,45,2.13,50,0,0.0,15,6,0,21,0.7142857142857143
Jimmy Wallhead,70,170,73,Orthodox,"Mar14,1984",3.19,26,6.65,49,0.0,0,100,0.0,29,11,0,40,0.725
Sai Wang,72,170,72,Southpaw,"Jan14,1986",3.17,46,2.27,53,0.0,0,77,0.0,8,5,1,14,0.5714285714285714
Charlie Ward,71,170,73,Orthodox,"Dec17,1980",1.64,19,7.21,53,0.0,0,0,0.0,3,3,0,6,0.5
Terrion Ware,68,135,71,Orthodox,"Mar31,1986",5.18,32,6.71,46,0.67,22,47,0.0,17,8,0,25,0.68
Dominic Waters,73,170,79,Orthodox,"Apr11,1989",0.48,23,2.53,39,4.07,52,28,0.0,9,5,0,14,0.6428571428571429
Michelle Waterson,63,115,62,Orthodox,"Jan06,1986",2.93,57,2.97,49,2.6,90,54,2.1,14,6,0,20,0.7
Walel Watson,71,135,69,Orthodox,"Jul16,1984",2.1,29,3.79,43,0.0,0,61,1.4,9,5,0,14,0.6428571428571429
Tom Watson,73,185,73,Orthodox,"Jul13,1982",4.01,44,4.41,50,0.15,7,43,0.0,17,9,0,26,0.6538461538461539
Jonavin Webb,70,170,71,Orthodox,"Apr28,1989",1.47,30,2.27,64,2.5,31,40,1.0,8,2,0,10,0.8
Emil Meek,71,170,74,Switch,"Aug20,1988",2.67,40,2.8,33,0.5,50,54,1.5,9,3,1,13,0.6923076923076923
Royston Wee,67,135,67,Orthodox,"Nov15,1986",1.1,60,2.45,49,3.38,81,0,0.0,4,1,0,5,0.8
Chris Weidman,74,185,78,Orthodox,"Jun17,1984",2.95,44,2.99,52,4.01,51,73,1.1,14,3,0,17,0.8235294117647058
Christian Wellisch,74,234,77,Orthodox,"Sep13,1975",3.12,27,3.04,56,1.22,42,45,1.2,8,5,0,13,0.6153846153846154
Fabricio Werdum,76,231,77,Orthodox,"Jul30,1977",3.61,51,2.45,56,1.65,30,31,1.1,23,8,1,32,0.71875
Sheldon Westcott,73,170,71,Southpaw,"Aug20,1984",2.26,40,3.73,37,3.23,37,14,0.0,10,3,1,14,0.7142857142857143
Coty Wheeler,66,135,67,Orthodox,"Oct11,1978",1.88,22,3.16,59,0.87,37,33,2.6,14,4,0,18,0.7777777777777778
Alex White,72,155,71,Southpaw,"Oct22,1988",3.87,40,2.75,64,0.9,45,70,0.2,12,4,0,16,0.75
Rob Whiteford,69,145,69,Southpaw,"Apr12,1983",2.33,46,1.99,62,1.9,30,45,0.0,12,4,0,16,0.75
Garett Whiteley,72,155,72,Orthodox,"Dec13,1980",3.72,48,4.04,46,0.0,0,27,0.9,8,3,0,11,0.7272727272727273
Robert Whittaker,72,185,73,Orthodox,"Dec20,1990",4.77,41,3.5,62,0.44,66,86,0.0,20,4,0,24,0.8333333333333334
Adam Wieczorek,77,250,81,Orthodox,"Feb05,1992",2.8,44,2.13,43,0.0,0,77,0.0,9,1,0,10,0.9
Rob Wilkinson,75,185,80,Orthodox,"Feb22,1992",2.74,50,5.66,39,4.47,25,0,0.0,11,2,0,13,0.8461538461538461
James Wilks,73,170,75,Orthodox,"May04,1978",1.82,45,2.03,50,1.27,22,66,3.8,7,4,0,11,0.6363636363636364
Patrick Williams,68,135,73,Orthodox,"Sep07,1981",4.17,47,4.33,44,4.72,57,100,1.2,8,5,0,13,0.6153846153846154
Tim Williams,74,185,76,Orthodox,"Jul03,1986",4.21,44,8.95,22,0.0,0,0,0.0,15,4,0,19,0.7894736842105263
Justin Willis,73,264,78,Southpaw,"Jul19,1987",4.22,54,2.91,66,2.56,75,0,0.0,6,1,0,7,0.8571428571428571
Chris Wilson,73,170,75,Orthodox,"Jun07,1977",2.32,50,1.36,55,1.31,50,60,1.6,16,8,0,24,0.6666666666666666
Jonathan Wilson,74,205,75,Southpaw,"Jul17,1987",2.92,48,5.65,56,0.37,100,80,0.0,7,3,0,10,0.7
Matt Wiman,70,155,68,Orthodox,"Sep19,1983",3.51,50,3.24,54,2.41,38,63,1.8,16,7,0,23,0.6956521739130435
Eddie Wineland,67,135,69,Orthodox,"Jun26,1984",3.21,28,3.4,70,0.32,33,85,0.2,23,12,1,36,0.6388888888888888
Andre Winner,71,155,73,Orthodox,"Nov09,1981",2.52,33,4.57,51,0.0,0,74,0.0,13,6,1,20,0.65
Keith Wisniewski,72,170,75,Orthodox,"Oct25,1981",2.32,52,4.86,42,1.57,40,78,0.3,28,13,1,42,0.6666666666666666
Tyron Woodley,69,170,74,Orthodox,"Apr07,1982",2.48,47,2.35,61,1.4,45,94,0.5,18,3,1,22,0.8181818181818182
Yan Xiaonan,65,115,63,Orthodox,"Jun16,1989",6.4,45,3.47,61,0.0,0,66,0.0,8,1,0,9,0.8888888888888888
Song Yadong,68,145,67,Orthodox,"Dec02,1997",1.88,27,0.7,90,0.0,0,100,3.5,10,3,0,13,0.7692307692307693
Rani Yahya,66,135,67,Orthodox,"Sep12,1984",1.47,38,1.47,50,3.15,35,22,2.1,25,9,0,34,0.7352941176470589
Alexander Yakovlev,75,170,74,Southpaw,"Jul18,1984",1.89,46,2.73,56,1.23,30,72,0.0,23,8,1,32,0.71875
Norifumi Yamamoto,64,135,66,Southpaw,"Mar15,1977",2.09,45,2.01,57,0.41,22,45,0.0,18,6,0,24,0.75
Wu Yanan,68,135,66,Orthodox,"Apr18,1996",1.47,43,2.53,41,1.0,50,28,0.0,9,2,0,11,0.8181818181818182
Dongi Yang,70,185,71,Southpaw,"Dec07,1984",3.55,51,3.21,63,1.7,41,61,0.5,13,3,0,16,0.8125
Jianping Yang,67,145,65,Orthodox,"Nov27,1988",1.4,26,2.07,65,1.0,25,33,0.0,7,4,1,12,0.5833333333333334
Hu Yaozong,75,242,72,Orthodox,"Apr07,1995",1.06,44,2.65,42,0.0,0,0,2.0,3,1,0,4,0.75
Ashley Yoder,67,115,69,Southpaw,"Oct20,1987",2.71,33,3.73,52,1.33,50,62,0.0,5,4,0,9,0.5555555555555556
Yoshiyuki Yoshida,71,170,70,Southpaw,"May10,1974",0.85,36,3.67,36,1.41,28,25,2.8,13,6,0,19,0.6842105263157895
Jason Young,69,145,73,Orthodox,"Jun28,1986",2.97,37,3.2,50,1.98,66,55,0.0,8,7,0,15,0.5333333333333333
Shane Young,68,150,72,Orthodox,"Jul31,1993",1.2,22,4.53,40,1.0,100,64,0.0,11,4,0,15,0.7333333333333333
Besam Yousef,71,170,71,Orthodox,"Mar25,1985",3.14,53,3.98,38,1.33,66,50,0.0,6,2,0,8,0.75
Gilbert Yvel,74,225,77,Orthodox,"Jun30,1976",1.05,47,1.78,50,0.0,0,25,1.0,36,16,1,53,0.6792452830188679
Luke Zachrich,74,185,74,Orthodox,"Dec19,1981",4.56,32,4.46,62,0.74,33,80,0.0,14,4,0,18,0.7777777777777778
Anton Zafir,71,170,72,Orthodox,"May10,1987",2.99,64,2.31,52,6.11,60,0,0.0,7,3,0,10,0.7
Aiemann Zahabi,68,135,68,Orthodox,"Nov19,1987",3.34,41,3.93,62,0.0,0,72,0.0,7,1,0,8,0.875
Elizeu Zaleski dos Santos,71,170,73,Orthodox,"Dec11,1986",4.52,41,3.11,62,0.41,11,40,0.6,18,5,0,23,0.782608695652174
Roger Zapata,71,170,74,Southpaw,"May09,1986",2.6,51,2.13,36,0.0,0,81,1.4,4,3,0,7,0.5714285714285714
Joao Zeferino,71,170,73,Orthodox,"Jan15,1986",0.83,36,2.6,48,0.5,5,50,1.0,13,6,0,19,0.6842105263157895
Tiequan Zhang,68,155,70,Orthodox,"Jul25,1978",1.23,36,2.14,51,1.95,58,75,3.4,18,4,0,22,0.8181818181818182
Zhang Lipeng,71,155,71,Southpaw,"Mar10,1990",1.28,48,1.88,53,1.75,30,69,0.8,9,9,1,19,0.47368421052631576
Yao Zhikui,65,125,64,Orthodox,"Feb07,1991",1.44,21,2.82,48,0.66,16,58,0.0,2,5,0,7,0.2857142857142857
Cat Zingano,66,135,68,Southpaw,"Jul01,1982",2.66,62,1.8,42,1.93,70,42,1.1,9,3,0,12,0.75
